"pft","feature","x","ale_mean","ale_lo","ale_hi","bin_count","n_folds"
"Coccolithophores","mlotst",17.4181635856629,0.00331889576023364,0.00255400620897451,0.00427405052649779,1500,5
"Coccolithophores","mlotst",26.1389148712159,0.00331336033399847,0.00262444831071377,0.00419727548528289,1500,5
"Coccolithophores","mlotst",763.389398288727,0.00373171163291124,0.00329725074756047,0.00427419112713251,1500,5
"Coccolithophores","qnet_wm2",-175.507891464233,-0.00513482535343702,-0.00610387428899393,-0.00541593575193959,1500,5
"Coccolithophores","qnet_wm2",-144.057303237915,-0.00632458632304578,-0.00752012951162906,-0.006784691042585,1500,5
"Coccolithophores","qnet_wm2",-133.651097869873,-0.00636877961149903,-0.00765297523762524,-0.00652186679765132,1500,5
"Coccolithophores","qnet_wm2",-125.557604980469,-0.0062735805494286,-0.00697159823095502,-0.00656818402976894,1500,5
"Coccolithophores","qnet_wm2",-118.786698913574,-0.00557480627306115,-0.00665073066788903,-0.00504036021033668,1500,5
"Coccolithophores","qnet_wm2",-112.455151367187,-0.00584068982493326,-0.00657523283962942,-0.00518325435623541,1500,5
"Coccolithophores","qnet_wm2",-106.086956787109,-0.00415843013622549,-0.00460663516912946,-0.00365733200449555,1499,5
"Coccolithophores","qnet_wm2",-99.6903961181641,-0.00440347427992623,-0.00499072638731645,-0.00371963864974729,1501,5
"Coccolithophores","qnet_wm2",-93.4285877227783,-0.00358164440903164,-0.0041684267111524,-0.00292537481544156,1500,5
"Coccolithophores","qnet_wm2",-86.9671230316162,-0.00254765550298347,-0.0028882991230023,-0.00221550567475833,1500,5
"Coccolithophores","qnet_wm2",-80.160428237915,-0.00148293723140754,-0.00164721763613339,-0.00125772341693422,1500,5
"Coccolithophores","qnet_wm2",-73.0012722015381,-0.000710732408092883,-0.00097447240217505,-0.000291602925942873,1500,5
"Coccolithophores","qnet_wm2",-65.4066024780273,-0.000155374677251144,-0.000309324296190726,0.000193801830348644,1500,5
"Coccolithophores","qnet_wm2",-58.0454429626465,-0.000566987277618178,-0.00126368123751808,-0.000190150278068827,1500,5
"Coccolithophores","qnet_wm2",-50.7333885192871,0.00201064384568842,0.0013117976901063,0.00237492628964107,1500,5
